
abmahnen;aanmanen
aktuell;actueel
aufregend;opwindend/spannend
Ausrichten;meedelen/op de hoogte stellen/opstellen
bei einer Prüfung durchfallen;niet slagen voor een examen
betreuen;zorgen voor/begeleiden
beziehungsweise;respectievelijk/of liever gezegd
bildschön;beeldschoon
brandneu;gloednieuw
das Girokonto;de zichtrekening
(den Unterricht) schwänzen;brossen
die Versandkosten;de verzendkosten
ehrgeizig;eerzuchtig/ambitieus
Ein Buch verschlingen;een boek verslinden
eine Prüfung ablegen;een examen afleggen
eine Prüfung bestehen;slagen voor een examen
einzigartig;uniek
erstklassig;eersteklas/prima
etwas auf Lager haben;iets in voorraad hebben
etwas im Wörterbuch nachslagen;iets in het woordenboek opzoeken
etwas macht schlechte Laune;iets brengt je in een slecht humeur
etwas steigert die Leistungsfähigkeit;iets verhoogt de prestaties
Geld abheben;geld afhalen
Geld anlegen;geld beleggen
Geld überweisen;geld overschrijven
gepflegt;verzorgd
günstig;goedkoop
herstellen;fabriceren/vervaardigen
hervorragend;uitstekend/voortreffelijk
merke dir das;vergeet het niet
ordentlich;ordelijk/fatsoenlijk
preiswert;van goede prijs/kwaliteit
schlau;sluw
sich beeilen;zich haasten
sich irren;zich vergissen
sich verfahren;verkeerd rijden
sprachbegabt sein;een taalknobbel hebben
staatsunabhängig;staatsonafhankelijk
um Rat bitten;om raad vragen
vereinbaren;overeens komen
verhaften;arresteren
vertreten;vertegenwoordigen
witzig;grappig
Wünsche wecken;wensen opwekken
sich anschnallen;zich vastgespen/zijn gordel aandoen
bremsen;remmen
stoppen;iets/iemand doen stoppen
anhalten;zelf stoppen (ophouden)
entwarnen;het signaal 'veilig' geven/een waarschuwing ongedaan maken
parken;parkeren
überholen;inhalen
Vorfahrt gewähren;voorrang verlenen
einsteigen;instappen
